Tool,DOI,Programming_Language,Details,Source,License,Underlying_algorithms,Underlying_assumptions,Strengths_weaknesses,Overall_performance,OxfordNanopore,PacBio,tenxGenomics,BionanoGenomics,HiC,fast5FileProcessing,Basecalling,LongReadOverlapping,DenovoAssembly,Alignment,Scaffolding,GeneratingConsensusSequence,ErrorCorrectionAndPolishing,EvaluatingExisitingMethods,IsoformDetection,BaseModificationDetection,QualityChecking,SNPAndVariantAnalysis,Visualisation,ReadQuantification,SuitableForSingleCellExperiments,TestedOnHumanData,TestedOnNonHumanData,Normalisation,ProvideSummaryStatistics,QualityTrimming,AvailablityOfTestData,Transcriptomics,GapFilling,AnalysisPipelines,Simulators,QualityFiltering,Demultiplexing,Metagenomics,TaxonomicClassification,polyALengthEstimation,RNAStructure,FusionDetection,CoexpressionAnalysis,DataStructures,cfDNActDNA
HLA-PRG-LA,10.1371/journal.pcbi.1005151,"C++, Perl",Fast HLA type inference from whole-genome data,https://github.com/DiltheyLab/HLA-PRG-LA,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Homopolish,10.1186/s13059-021-02282-6,Python,"Nanopore-specific polisher able to generate a high-quality genome (>Q40) for virus, bacteria, and fungus",https://github.com/ythuang0522/homopolish,GNU General Public License v3.0,"The strength of Homopolish lies in correcting Nanopore systematic errors by training a polishing model using homologous sequences retrieved from closely-related genomes. In conjunction with Racon or Medaka, the genomes can reach Q40-90 (>99.99%) accuracy on R9.4 flowcells (Guppy 3.x)",,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HPG-Pore,10.1186/s12859-016-0966-0,"Java, C",Framework for exploration and analysis of ONT data,https://github.com/opencb/hpg-pore,Apache License 2.0,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HQAlign,10.1101/2023.01.08.523172 ,"Python, C",Aligner for SV detection using nanopore sequenced reads,https://github.com/joshidhaivat/HQAlign,,Minimap2,,,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HyPo,10.1038/s41592-023-02141-1,C++,A polisher for long read genome assemblies,https://github.com/kensung-lab/hypo,GNU General Public License v3.0,,,"Limitations: N's in the contig/scaffold to be polished are considered as any other base (i.e. an N will be replaced by the most frequent base aligned to it in the corresponding POA graph); The maximum length a contig/scaffold can have is limited to 4,294,967,295 (the maximum value for a 32-bit unsigned integer).",,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I-CONVEX,10.1101/2020.09.28.317594,"Python, C",de Novo Transcriptome Recovery from Long Reads,https://github.com/sinaBaharlouei/I-CONVEX,,scalable pre-clustering of reads followed by alignmentfree isoform recovery via convexification,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ideel,,R,Algorithm to test for interrupted ORFs in bacterial/microbial genomes,https://github.com/mw55309/ideel/,,quick test for interrupted ORFs in bacterial/microbial genomes,,,,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IDP,10.1073/pnas.1320101110,,"Isoform detection and prediction, using hybrid transcriptome sequencing",https://www.healthcare.uiowa.edu/labs/au/IDP,Apache 2.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ILRA,10.1101/2021.07.30.454413,"Shell, Perl","Improvement of Long Read Assemblies (ILRA) is a pipeline to help in the post assembly process (finishing) by cleaning and merging contigs, correct homopolymer tracks and circulate plastids.",https://github.com/ThomasDOtto/ILRA,GNU General Public License v3.0,,,,Available on a linux virtual machine,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INC-Seq,10.1186/s13742-016-0140-7,Python,Extracts repeating sequence segments and corrects them by constructing a consensus sequence,https://github.com/CSB5/INCSeq,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INSERT-seq,10.1101/2022.05.25.493391,,DNA integration site analysis,https://bitbucket.org/synbiolab/INSERT-seq_pipeline/,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
INSnet,10.1186/s12859-023-05216-0,Python,An approach for detecting insertions with a deeplearning network,https://github.com/eioyuou/INSnet,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Inspector,10.1186/s13059-021-02527-4,Python,A reference-free long-read assembly evaluator,https://github.com/ChongLab/Inspector,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Insplico,10.1101/2022.08.15.503947;10.1093/nar/gkad244,,intron splicing order,https://gitlab.com/aghr/insplico,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
IONiseR,,R,QC of Nanopore data,https://github.com/grimbough/IONiseR,Copyright Mike L. Smith,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IPA,,Python,Official PacBio tool for HiFi genome assembly through phased assembly,https://github.com/PacificBiosciences/pbbioconda/wiki/Improved-Phased-Assembler,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Iso-Seq_Browser,10.1101/102905,Python,An interactive visual analytics tool for long-read RNA sequencing data produced by PacBio Iso-Seq techniques,https://github.com/goeckslab/isoseq-browser,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
isoCirc,10.1038/s41467-020-20459-8,,isoCirc is a long-read sequencing strategy coupled with an integrated computational pipeline to characterize full-length circRNA isoforms using rolling circle amplification (RCA) followed by long-read sequencing,https://github.com/Xinglab/isoCirc,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IsoCon,10.1038/s41467-018-06910-x,Python,Deriving finished transcripts from Iso-Seq reads from targeted sequencing,https://github.com/ksahlin/IsoCon,GNU General Public License v3.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
isONclust,10.1089/cmb.2019.0299,Python,Clustering of long read transcriptome data,https://github.com/ksahlin/isONclust,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
isONcorrect,10.1101/2020.01.07.897512,Python,Error corrects ONT transcript reads,https://github.com/ksahlin/isONcorrect,GNU General Public License v3.0,"isONcorrect uses paired minimizer anchors and formulates the error correction problem as a Weighted Interval Scheduling (WIS) problem that is solved exactly. Intervals chosen in the optimal WIS solution are corrected separately and the corrected interval is substituted back into the original region of the read. A strenght with isONcorrect is that it is designed to leverage from shader exons between different isoforms, increasing the effective coverage for correction.",Assumes reads are clustered into genes with a clustering algorithm such as isONclust or CARNAC-LR.,,Assumes reads are clustered into genes with a clustering algorithm such as isONclust or CARNAC-LR.,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IsoPops,10.1038/s41467-020-17009-7,R,Analysis of isoform-diverse transcript datasets,https://github.com/kellycochran/IsoPops,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
IsoQuant,10.21203/rs.3.rs-1571850/v1;10.1038/s41587-022-01565-y,Python,A tool for novel isoform discovery with long reads,https://github.com/ablab/IsoQuant,GNU General Public License v2.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
isoseq_manuscript_resources,10.1101/gr.259903.119,"Python, Shell",A long-read RNA-seq approach to identify novel transcripts of very large genes,https://github.com/puapinyoying/isoseq_manuscript_resources,MIT License,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
IsoSeq3,,Python,PacBio Iso-Seq workflow for denovo isoform discovery from single-molecule sequencing data,https://isoseq.how/,BSD 3-Clause Clear License,,,,,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
IsoSplitter,10.1080/15476286.2020.1738703,Python,A de novo identification tool of alternative splicing sites using long-reads transcriptome without a reference genome,https://github.com/Hengfu-Yin/IsoSplitter,GNU Lesser General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IsoTools,10.1101/2021.07.13.452091;10.1093/bioinformatics/btad364,Python,python module for Long Read Transcriptome Sequencing (LRTS) analysis,https://github.com/MatthiasLienhard/isotools,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
IsoTV,10.1093/bioinformatics/btab103,Python,Snakemake pipeline to process and visualize functional features of translated transcript isoforms,https://github.molgen.mpg.de/MayerGroup/IsoTV,,"Pychopper, Filtlong, Minimap2, DESeq2",,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Jabba,10.1186/s13015-016-0075-7,C++,A hybrid error correction for long sequencing reads,https://github.com/biointec/jabba,GNU General Public License v3.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JACUSA2,10.1186/s13059-022-02676-0;10.1080/15476286.2023.2248752,Java,JAVA framework for accurate variant assessment to detect single nucleotide variants and reverse transcriptase induced arrest events in NGS data,https://github.com/dieterich-lab/JACUSA2,GPL-3.0 License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
JAFFAL,10.1101/2021.04.26.441398,,JAFFAL detects fusion genes in long read transcriptome sequencing,https://github.com/Oshlack/JAFFA,,"JAFFAL is a pipeline that detects fusions by aligning reads to a reference transcriptome and genome and identifying reads which align to multiple genes (consistent with a fusion transcript). Further filtering, ranking and realignment of breakpoints is performed prior to reporting the positions and associated information of each fusion breakpoint",The current version assumes that no intronic sequence is retained at the fusion breakpoint,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Japsa,,Java,"Java package for sequence analysis. Bundles other tools such as npBarcode, npScarf, npReader and npAnalysis",https://github.com/mdcao/japsa,"Copyright, all rights reserved",,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jasmine,10.1101/2021.05.27.445886,"Java, Python, Shell",Jointly Accurate Sv Merging with Intersample Network Edges,https://github.com/mkirsche/Jasmine,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kaiju,10.1038/ncomms11257,C,Fast taxonomic classification of metagenomic sequencing reads using a protein reference database,http://kaiju.binf.ku.dk,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Kart,10.1093/bioinformatics/btx189,"C, C++, Perl",A divide-and-conquer algorithm for NGS read mapping with high error tolerance,https://github.com/hsinnan75/Kart/,GNU General Public License v2.0,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
kass,10.3389/fimmu.2020.582927,"Java, Groovy",Haplotype assembly for killer cell immunoglobulin-like receptors (KIR),https://github.com/droeatumn/kass,GNU General Public License v3.0,,,,,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Katuali,,Snakemake,"A flexible consensus pipeline implemented in Snakemake to basecall, assemble, and polish Oxford Nanopore Technologies' sequencing data.",https://github.com/nanoporetech/katuali,Mozilla Public License 2.0,,,,,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
kineticsTools,,Python,Detecting DNA modifications from SMRT data,https://github.com/PacificBiosciences/kineticsTools,,,,RSII only,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kraken,10.1186/gb-2014-15-3-r46,C++,Metagenomic sequence classification using exact alignments,https://ccb.jhu.edu/software/kraken2,MIT License,,,,,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Krocus,10.7717/peerj.5233,"Python, Shell",Sequence typing from uncorrected reads,https://github.com/andrewjpage/krocus,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
LAMSA,10.1093/bioinformatics/btw594,C,Fast split read alignment with long approximate matches,https://github.com/hitbc/LAMSA,MIT License,"LAMSA takes takes the advantage of the rareness of SVs to implement a specifically designed two-step strategy. That is, LAMSA initially splits the read into relatively long fragments and co-linearly align them to solve the small variations or sequencing errors, and mitigate the effect of repeats. The alignments of the fragments are then used for implementing a sparse dynamic programming (SDP)-based split alignment approach to handle the large or non-co-linear variants.",,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LAST,10.1101/gr.113985.110,,Aligner,http://last.cbrc.jp,,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
last-genotype,,C++,Identify substitutions and assign reads by genotype,https://github.com/mcfrith/last-genotype,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
last-rna,,"Python, Shell",Collection of scripts for the analysis of long transcriptomic reads,https://github.com/mcfrith/last-rna,MIT License,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LAST-TRAIN,10.1093/bioinformatics/btw742,Python,A tool to train alignment parameters from sequence data,https://gitlab.com/mcfrith/last,,,,"Improves sequence alignment accuracy by inferring substitution and gap scores that fit the frequencies of substitutions, insertions, and deletions in a given dataset",,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
lathe,,Python,A tool for generating bacterial genomes from metagenomes with nanopore long read sequencing,https://github.com/bhattlab/lathe,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
LazyB,10.1186/s13015-021-00186-5,Python,Hybrid genome assembly,https://github.com/TGatter/LazyB,Other,graphs,requires short and long reads,computationally frugal,,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LeafGo,10.1186/s13059-021-02475-z,,experimental and bioinformatic workflow for long-read de novo plant genome assembly,,,collection of other tools,,,,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
levelfind_poreseq,,Python,Extract signal levels and noise information of DNA bases using a Bayesian model,https://github.com/luplatina/levelfind_poreseq,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lima,,R,A PacBio standard tool to identify barcode and primer sequences in single-molecule sequencing data,https://github.com/PacificBiosciences/barcoding,BSD 3-Clause Clear License,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Linear,10.1093/bib/bbad071;10.1186/s13059-024-03297-5,C++,A framework integrating long-read workflows distrinct from assembly- and alignment-based ones,https://github.com/xp3i4/linear,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LINKS,10.1186/s13742-015-0076-3,"Perl, Shell",Long Interval Nucleotide K-mer Scaffolder,https://github.com/bcgsc/LINKS,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LIQA,10.1186/s13059-021-02399-8;10.1101/2020.09.09.289793,"Python, Perl",Long-read Isoform Quantification and Analysis: A statistical tool to quantify isoform-specific expression using long-read RNA-seq,https://github.com/WGLab/LIQA,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LJA,10.1101/2020.12.10.420448,"C++, Python",La Jolla Assembler: Assembling Long and Accurate Reads Using Multiplex de Bruijn Graphs,https://github.com/AntonBankevich/LJA,BSD-3-Clause," LJA consists of three modules each of which addresses a computational challenge that is unique for HiFI reads: (i) jumboDBG module for de Bruijn graph construction for arbitrarily large values of k; (ii) mowerDBG module for almost perfect error correction and (iii) multiDBG module for using variable values of k in different parts of the genome and using the full length of HiFi reads for repeat resolution. In addition, since LJA compresses homopolymers in reads to avoid frequent errors in homopolymers, LJA uses LJApolisher tool for uncompressing and polishing final contigs.",,HiFi data only,,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lokatt,10.1101/2022.07.13.499873,"Python, Cuda, C++",A hybrid DNA nanopore basecaller with an explicit duration hidden Markov model and a residual LSTM network,https://github.com/chunxxc/lokatt,GNU Affero General Public License v3.0,Explicit Duration HMM (EDHMM),,trained on E. coli only,92% simplex accuracy,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Long Ranger,,,10X Genomics linked-read analysis pipelien,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Longbow,10.1101/2021.10.01.462818,"Python, wdl",Command line tool to process MAS-ISO-seq data,https://github.com/broadinstitute/longbow,BSD 3-Clause License,,"MAS-seq (multiple array sequencing, Pacbio data)",,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LongGF,10.1186/s12864-020-07207-4,"C, C++",A computational algorithm and software tool for fast and accurate detection of gene fusion by long-read transcriptome sequencing,https://github.com/WGLab/LongGF,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
LongISLND,10.1093/bioinformatics/btw602,Java,Long read simulatior for ONT and PacBio,https://github.com/bioinform/longislnd,CC-BY-NC-SA 4.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
LongPhase,10.1101/2021.09.09.459623;10.1093/bioinformatics/btac058,C,ultra-fast chromosome-scale phasing algorithm for small and large variants,https://github.com/twolinin/LongPhase/,,two stage phasing using directed acyclic graphs,requires vcfs of SNVs and SVs,fast,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LongQC,10.1534/g3.119.400864,"Python, C",A tool for the data quality control of the PacBio and ONT long reads,https://github.com/yfukasawa/LongQC,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
longread_plots,,Python,A collection of plots for long read sequencing FastQ files from devices like Oxford Nanopore's MinION and PromethION.,https://github.com/ahcm/longread_plots,"BSD 2-Clause ""Simplified"" License",,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
longread-UMI-pipeline,10.1038/s41592-020-01041-y,"Shell, R",A collection of scripts for processing longread UMI data.,https://github.com/SorenKarst/longread-UMI-pipeline,GNU General Public License v3.0,,,,,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
LongReadSelfCorrect,,C++,"An assembler that  integrates string and de Bruijn graph by decomposing reads within error-prone regions, while extending paired-end read into long reads for assembly through repetitive regions",https://github.com/ccuchengwei/LongReadSelfCorrect,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Longshot,10.1038/s41467-019-12493-y,"Rust, C",A diploid SNV caller for error-prone reads,https://github.com/pjedge/longshot,MIT License,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LongStitch,10.1101/2021.06.17.448848;10.1186/s12859-021-04451-7,"Python, C++",genome assembly correction and scaffolding using long reads,https://github.com/bcgsc/longstitch,GNU General Public License v3.0,"Tingmint-long, ntLink, ARKS-Long",,,,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LoopViz,10.1101/2021.02.01.427927,Python,A quality control tool that quantifies and visualizes results from assembly reactions using long-read Oxford Nanopore Technologies (ONT) sequencing,https://gitlab.com/marielelensink325/loopseq,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LORALS,10.1101/2021.01.22.427687;10.1038/s41586-022-05035-y,"Python, Shell",Allele-specific analyses in long-read data,https://github.com/LappalainenLab/lorals,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
LoRDEC,10.1093/bioinformatics/btu538,C++,Hybrid read correction for PacBio and ONT long reads,http://atgc.lirmm.fr/lordec,CeCILL A license,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lordFAST,10.1093/bioinformatics/bty544,"C, C++",Aligner for long reads,https://github.com/vpc-ccg/lordfast,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LoReAn,10.1104/pp.18.00848,Python,Genome annotation using long transcriptomic reads,https://github.com/lfaino/LoReAn,MIT License,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
loresim,,"C++, Shell",NOT-MAINTAINED::Long read simulator,https://github.com/gt1/loresim,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
loresim2,,C++,Long read simulator,https://github.com/gt1/loresim2,GNU General Public License v3.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
loreta,,Python,Finding T-DNA insertions in nanopore whole-genome sequencing data,https://github.com/nkleinbo/loreta,,"BLAST, minimap2, Canu",,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
LoRMA,10.1093/bioinformatics/btw321,C++,Hybrid read correction for PacBio and ONT long reads,https://gite.lirmm.fr/lorma/lorma-releases/wikis/home,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LoRTE,10.1186/s13100-017-0088-x,Python,Detecting transposon-induced genomic variants using low coverage PacBio long read sequences,http://www.egce.cnrs-gif.fr/?p=6422,GNU,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
